no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,class_no,class_nm,loan_count,sales_point,price,page_count,review_count,average_rating,최다연령대_여성,최다연령대_남성,성비_여성,20~30대_남성,20~30대_여성,분류,대출수준,단행/시리즈,중분류,소분류,data,키워드
17,17,프로젝트 헤일메리,앤디 위어 지음 ;강동혁 옮김,알에이치코리아,2021,9788925588735,A04840,843.6,문학 > 영미문학 > 소설,3312.0,78698,19800,692.0,62.0,9.5,30.0,40.0,0.7,13.1,42.0,과학소설(SF),상위권,단행본, 영미문학 , 소설,"프로젝트 헤일메리,9788925588735","[""SF"", ""우주"", ""생존"", ""외계인"", ""과학""]"
18,18,이중 하나는 거짓말 :김애란 장편소설,지은이: 김애란,문학동네,2024,9791141601300,A03810,813.7,문학 > 한국문학 > 소설,3254.0,80808,14400,240.0,64.0,8.7,40.0,40.0,0.8,7.3,30.7,한국소설,상위권,단행본, 한국문학 , 소설,"이중 하나는 거짓말 :김애란 장편소설,9791141601300","[""성장"", ""관계"", ""회복"", ""기억"", ""청춘""]"
19,19,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설,지은이: 김초엽,허블,2019,9791190090018,A03810,813.7,문학 > 한국문학 > 소설,3204.0,63964,15300,344.0,234.0,8.8,20.0,20.0,0.8,10.1,49.3,과학소설(SF),상위권,단행본, 한국문학 , 소설,"우리가 빛의 속도로 갈 수 없다면 :김초엽 소설,9791190090018","[""SF"", ""관계"", ""성장"", ""우주"", ""탐험""]"
20,20,두 사람의 인터내셔널 :김기태 소설,지은이: 김기태,문학동네,2024,9788954697941,A03810,813.7,문학 > 한국문학 > 소설,3201.0,42107,15120,336.0,44.0,8.7,40.0,30.0,0.7,12.2,29.200000000000003,한국소설,상위권,단행본, 한국문학 , 소설,"두 사람의 인터내셔널 :김기태 소설,9788954697941","[""사랑"", ""관계"", ""이별"", ""회상"", ""상실""]"
21,21,"칵테일, 러브, 좀비",지은이: 조예은,안전가옥,2020,9791190174756,A03810,813.7,문학 > 한국문학 > 소설,3527.0,26993,11700,162.0,55.0,8.7,20.0,20.0,0.9,8.3,57.3,판타지/환상문학,상위권,단행본, 한국문학 , 소설,"칵테일, 러브, 좀비,9791190174756","[""러브"", ""좀비""]"
22,22,"시선으로부터, :정세랑 장편소설",지은이: 정세랑,문학동네,2020,9788954672214,A03810,813.7,문학 > 한국문학 > 소설,3123.0,34538,12600,340.0,120.0,8.7,20.0,40.0,0.9,5.0,57.2,한국소설,상위권,단행본, 한국문학 , 소설,"시선으로부터, :정세랑 장편소설,9788954672214","[""SF"", ""성장"", ""우정"", ""모험""]"
23,23,귀신들의 땅 :천쓰홍 장편 소설,지은이: 천쓰홍 ;옮긴이: 김태성,민음사,2023,9788937454820,A03820,823.7,문학 > 중국문학 > 소설,3111.0,13630,16200,504.0,24.0,8.5,30.0,30.0,0.8,7.5,51.900000000000006,중국소설,상위권,단행본, 중국문학 , 소설,"귀신들의 땅 :천쓰홍 장편 소설,9788937454820","```json
[""공포"", ""저주"", ""기억"", ""슬픔"", ""이별""]
```"
24,24,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,지은이: 이미예,팩토리나인,2020,9791165341909,A03810,813.7,문학 > 한국문학 > 소설,3375.0,75152,12420,300.0,144.0,8.1,40.0,40.0,0.8,9.7,40.1,판타지/환상문학,상위권,단행본, 한국문학 , 소설,"달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,9791165341909","[""판타지"", ""꿈"", ""가게"", ""상점"", ""사연""]"
25,24,완전한 행복 :정유정 장편소설,지은이: 정유정,은행나무,2021,9791167370280,A03810,813.7,문학 > 한국문학 > 소설,2964.0,27890,16020,524.0,145.0,8.5,40.0,40.0,0.8,8.1,38.7,한국소설,상위권,단행본, 한국문학 , 소설,"완전한 행복 :정유정 장편소설,9791167370280","[""성장"", ""여정"", ""가족"", ""사랑""]"
26,26,아주 희미한 빛으로도 :최은영 소설,지은이: 최은영,문학동네,2023,9788954695053,A03810,813.7,문학 > 한국문학 > 소설,2957.0,24479,15120,352.0,70.0,8.9,30.0,40.0,0.8,9.6,41.7,한국소설,상위권,단행본, 한국문학 , 소설,"아주 희미한 빛으로도 :최은영 소설,9788954695053","[""성장"", ""관계"", ""가족"", ""사랑"", ""위로""]"
27,27,희랍어 시간 :한강 장편소설,지은이: 한강,문학동네,2011,9788954616515,A03810,813.62,문학 > 한국문학 > 소설,2894.0,104480,11700,194.0,90.0,8.7,40.0,50.0,0.8,7.300000000000001,33.6,한국소설,상위권,단행본, 한국문학 , 소설,"희랍어 시간 :한강 장편소설,9788954616515","[""역사"", ""그리스"", ""철학"", ""기억"", ""성장""]"
28,28,파과 :구병모 장편소설,지은이: 구병모,위즈덤하우스 미디어그룹,2018,9791162203620,A03810,813.7,문학 > 한국문학 > 소설,1509.3333333333333,46569,14220,344.0,70.0,8.5,20.0,20.0,0.8,7.199999999999999,51.5,한국소설,상위권,단행본, 한국문학 , 소설,"파과 :구병모 장편소설,9791162203620","[""성장"", ""가족"", ""상처"", ""애도"", ""회복""]"
29,29,대온실 수리 보고서 :김금희 장편소설,지은이: 김금희,창비,2024,9788936439651,A03810,813.7,문학 > 한국문학 > 소설,2812.0,61101,16200,416.0,79.0,8.6,40.0,50.0,0.8,5.9,29.0,한국소설,상위권,단행본, 한국문학 , 소설,"대온실 수리 보고서 :김금희 장편소설,9788936439651","[""성장"", ""가족"", ""관계"", ""치유""]"
30,30,내가 한 말을 내가 오해하지 않기로 함,지은이: 문상훈,위너스북,2024,9791189352745,A03810,818.0,문학 > 한국문학 > 르포르타주 및 기타,2752.0,29092,17820,168.0,12.0,8.6,30.0,20.0,0.8,18.4,57.6,명사에세이,상위권,단행본, 한국문학 , 르포르타주 및 기타,"내가 한 말을 내가 오해하지 않기로 함,9791189352745","[""자아"", ""성찰"", ""관계"", ""성장""]"
31,31,모우어 :천선란 소설,지은이: 천선란,문학동네,2024,9791141601447,A03810,813.7,문학 > 한국문학 > 소설,2748.0,19970,15300,324.0,10.0,9.3,20.0,30.0,0.8,7.0,55.9,한국소설,상위권,단행본, 한국문학 , 소설,"모우어 :천선란 소설,9791141601447","[""성장"", ""관계"", ""사춘기"", ""세대"", ""공감""]"
32,32,혼모노 :성해나 소설집,지은이: 성해나,창비,2025,9788936439743,A03810,813.7,문학 > 한국문학 > 소설,2711.0,390401,16200,368.0,86.0,8.5,40.0,40.0,0.8,8.3,34.0,한국소설,상위권,단행본, 한국문학 , 소설,"혼모노 :성해나 소설집,9788936439743","[""성해나"", ""자매"", ""가족"", ""성장"", ""관계""]"
33,33,트로피컬 나이트 =조예은 소설집 /Tropical night,지은이: 조예은,한겨레엔,2022,9791160408331,A03810,813.7,문학 > 한국문학 > 소설,2702.0,13387,13500,312.0,53.0,8.9,20.0,20.0,0.9,4.300000000000001,61.8,호러.공포소설,상위권,단행본, 한국문학 , 소설,"트로피컬 나이트 =조예은 소설집 /Tropical night,9791160408331","[""로맨스"", ""청춘"", ""사랑"", ""성장"", ""감성""]"
34,34,이끼숲 :천선란 연작소설,지은이: 천선란 ;일러스트: 점선면,자이언트북스,2023,9791191824216,A03810,813.7,문학 > 한국문학 > 소설,2690.0,10516,14220,280.0,32.0,9.7,20.0,50.0,0.9,5.4,60.3,과학소설(SF),상위권,단행본, 한국문학 , 소설,"이끼숲 :천선란 연작소설,9791191824216","[""판타지"", ""숲"", ""신비"", ""모험"", ""성장""]"
35,35,나는 메트로폴리탄 미술관의 경비원입니다 :가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기,패트릭 브링리 지음 ;조현주 옮김,웅진씽크빅,2023,9788901276533,A03840,848.0,문학 > 영미문학 > 르포르타주 및 기타,2651.0,53351,15750,368.0,109.0,8.5,40.0,50.0,0.7,8.1,19.8,외국에세이,상위권,단행본, 영미문학 , 르포르타주 및 기타,"나는 메트로폴리탄 미술관의 경비원입니다 :가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기,9788901276533","[""미술관"", ""경비원"", ""일상"", ""변화"", ""감동""]"
36,36,대도시의 사랑법 :박상영 연작소설,지은이: 박상영,창비,2019,9788936437978,A03810,813.7,문학 > 한국문학 > 소설,2565.0,30842,16200,376.0,120.0,8.5,20.0,30.0,0.7,14.7,45.1,한국소설,상위권,단행본, 한국문학 , 소설,"대도시의 사랑법 :박상영 연작소설,9788936437978","[""성장"", ""관계"", ""사랑"", ""고민""]"
37,37,흰 :한강 소설,지은이: 한강,문학동네,2018,9788954651134,A03810,813.62,문학 > 한국문학 > 소설,2012.5,142557,13050,196.0,45.0,9.1,40.0,50.0,0.7,7.4,28.9,한국소설,상위권,단행본, 한국문학 , 소설,"흰 :한강 소설,9788954651134","[""성장"", ""우정"", ""가족"", ""청춘"", ""사랑""]"
38,38,단 한 사람 :최진영 장편소설,지은이: 최진영,한겨레엔,2023,9791160405750,A03810,813.7,문학 > 한국문학 > 소설,2550.0,14961,13500,256.0,49.0,8.9,20.0,30.0,0.8,7.7,44.3,한국소설,상위권,단행본, 한국문학 , 소설,"단 한 사람 :최진영 장편소설,9791160405750","[""성장"", ""우정"", ""사랑"", ""청춘"", ""가족""]"
39,39,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2022,9791161571379,A03810,813.7,문학 > 한국문학 > 소설,1531.5,41026,15120,320.0,65.0,9.2,40.0,20.0,0.7,13.0,20.4,한국소설,상위권,시리즈, 한국문학 , 소설,"불편한 편의점 :김호연 장편소설,9791161571379","[""성장"", ""일상"", ""위로"", ""공감"", ""관계""]"
40,40,오렌지와 빵칼 =청예 장편소설 /Orange and bread knife,지은이: 청예,허블,2024,9791193078259,A03810,813.7,문학 > 한국문학 > 소설,2496.0,12701,10800,184.0,63.0,9.1,30.0,40.0,0.8,7.4,47.6,과학소설(SF),상위권,단행본, 한국문학 , 소설,"오렌지와 빵칼 =청예 장편소설 /Orange and bread knife,9791193078259","[""성장"", ""관계"", ""청소년"", ""우정"", ""일상""]"
41,41,수박 수영장 :안녕달 그림책,지은이: 안녕달,창비,2015,9788936446819,A77810,813.7,문학 > 한국문학 > 소설,2434.0,31700,12600,60.0,44.0,9.7,30.0,40.0,0.9,4.7,52.9,그림책,상위권,단행본, 한국문학 , 소설,"수박 수영장 :안녕달 그림책,9788936446819","[""수영"", ""여름"", ""친구"", ""놀이""]"
42,42,탕비실 :이미예 소설,지은이: 이미예,오팬하우스,2024,9791198809940,A03810,813.7,문학 > 한국문학 > 소설,2398.0,10753,12600,140.0,34.0,9.0,40.0,40.0,0.8,8.1,38.2,한국소설,상위권,단행본, 한국문학 , 소설,"탕비실 :이미예 소설,9791198809940","[""성장"", ""우정"", ""치유"", ""과거"", ""진실""]"
43,43,삼체 =The three body,류츠신 지음 ;허유영 옮김,자음과모음,2020,9788954442695,A04820,823.7,문학 > 중국문학 > 소설,1609.3333333333333,13774,15300,452.0,20.0,8.8,40.0,40.0,0.6,19.2,28.5,과학소설(SF),상위권,시리즈, 중국문학 , 소설,"삼체 =The three body,9788954442695","[""SF"", ""외계인"", ""과학"", ""우주"", ""문명""]"
44,44,돌이킬 수 있는 =문목하 장편소설 /Eversible,지은이: 문목하,아작,2018,9791189015381,A03810,813.7,문학 > 한국문학 > 소설,2335.0,11991,13320,416.0,30.0,8.8,20.0,20.0,0.9,8.1,62.6,과학소설(SF),상위권,단행본, 한국문학 , 소설,"돌이킬 수 있는 =문목하 장편소설 /Eversible,9791189015381","[""성장"", ""사랑"", ""인생"", ""관계""]"
45,45,해가 지는 곳으로 :최진영 장편소설,지은이: 최진영,민음사,2017,9788937473166,A04810,813.7,문학 > 한국문학 > 소설,2758.0,18163,12600,208.0,47.0,8.4,20.0,20.0,0.9,6.0,60.3,한국소설,상위권,단행본, 한국문학 , 소설,"해가 지는 곳으로 :최진영 장편소설,9788937473166","[""성장"", ""관계"", ""여정"", ""가족"", ""청춘""]"
46,46,사랑과 결함 :예소연 소설,지은이: 예소연,문학동네,2024,9791141601102,A03810,813.7,문학 > 한국문학 > 소설,2244.0,20332,14850,364.0,18.0,9.1,20.0,30.0,0.8,7.4,52.2,한국소설,상위권,단행본, 한국문학 , 소설,"사랑과 결함 :예소연 소설,9791141601102","[""성장"", ""관계"", ""정체성"", ""일상""]"
47,47,미드나잇 라이브러리,매트 헤이그 지음 ;노진선 옮김,인플루엔셜,2021,9791191056556,A03840,843.6,문학 > 영미문학 > 소설,2241.0,28533,14220,408.0,135.0,8.2,40.0,40.0,0.8,10.4,42.900000000000006,영미소설,상위권,단행본, 영미문학 , 소설,"미드나잇 라이브러리,9791191056556","[""판타지"", ""선택"", ""인생"", ""후회"", ""기회""]"
48,48,"파쇄 :일단 마음먹고 칼을 집었으면, 뜸 들이지 마",지은이: 구병모,위즈덤하우스,2023,9791168127012,A04810,813.7,문학 > 한국문학 > 소설,2229.0,16943,11700,96.0,24.0,8.7,30.0,50.0,0.8,6.4,55.3,한국소설,상위권,단행본, 한국문학 , 소설,"파쇄 :일단 마음먹고 칼을 집었으면, 뜸 들이지 마,9791168127012","[""스릴러"", ""결단"", ""폭력""]"
49,49,당신이 누군가를 죽였다,지은이: 히가시노 게이고 ;옮긴이: 최고은,교보문고,2024,9791170611561,A03830,833.6,문학 > 일본문학 > 소설,2213.0,41233,17820,432.0,32.0,9.0,40.0,30.0,0.5,25.4,20.6,추리/미스터리소설,상위권,단행본, 일본문학 , 소설,"당신이 누군가를 죽였다,9791170611561","[""스릴러"", ""죽음"", ""미스터리"", ""진실"", ""고통""]"
50,50,적산가옥의 유령 :조예은 소설,지은이: 조예은,현대문학,2024,9791167902580,A04810,813.7,문학 > 한국문학 > 소설,2207.0,11091,13500,212.0,28.0,9.7,30.0,40.0,0.9,5.300000000000001,54.0,호러.공포소설,상위권,단행본, 한국문학 , 소설,"적산가옥의 유령 :조예은 소설,9791167902580","[""미스터리"", ""괴담"", ""귀신"", ""추리"", ""해결""]"
51,51,눈부신 안부 :백수린 장편소설,지은이: 백수린,문학동네,2023,9788954699372,A03810,813.7,문학 > 한국문학 > 소설,2160.0,11794,14400,316.0,52.0,9.0,30.0,50.0,0.8,6.5,45.3,한국소설,상위권,단행본, 한국문학 , 소설,"눈부신 안부 :백수린 장편소설,9788954699372","[""성장"", ""관계"", ""성장통"", ""성찰""]"
52,52,영원한 천국 :정유정 장편소설,지은이: 정유정,은행나무,2024,9791167374561,A03810,813.7,문학 > 한국문학 > 소설,2138.0,44265,17820,524.0,33.0,8.7,40.0,50.0,0.8,6.4,26.2,한국소설,상위권,단행본, 한국문학 , 소설,"영원한 천국 :정유정 장편소설,9791167374561","[""성장"", ""사랑"", ""가족"", ""복수"", ""모험""]"
53,52,파견자들 :김초엽 장편소설,지은이: 김초엽,퍼블리온,2023,9791191587524,A03810,813.7,문학 > 한국문학 > 소설,2138.0,9776,17100,432.0,26.0,8.8,40.0,40.0,0.8,9.2,41.2,과학소설(SF),상위권,단행본, 한국문학 , 소설,"파견자들 :김초엽 장편소설,9791191587524","[""SF"", ""연대"", ""질병"", ""망명""]"
54,54,구의 증명 :최진영 소설,지은이: 최진영,은행나무,2015,9788956608556,A03810,813.7,문학 > 한국문학 > 소설,2137.0,13876,7200,180.0,43.0,8.4,20.0,20.0,0.8,8.0,48.2,한국소설,상위권,단행본, 한국문학 , 소설,"구의 증명 :최진영 소설,9788956608556","[""성장"", ""기억"", ""사랑"", ""청춘""]"
55,55,나미야 잡화점의 기적 :히가시노 게이고 장편소설,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2012,9788972756194,A03830,833.6,문학 > 일본문학 > 소설,1490.5,110433,13320,456.0,461.0,9.1,20.0,20.0,0.8,13.2,43.4,일본소설,상위권,단행본, 일본문학 , 소설,"나미야 잡화점의 기적 :히가시노 게이고 장편소설,9788972756194","[""판타지"", ""치유"", ""성장"", ""시간여행""]"
56,56,아버지의 해방일지 :정지아 장편소설,지은이: 정지아,창비,2022,9788936438838,A03810,813.62,문학 > 한국문학 > 소설,2121.0,53447,15300,268.0,169.0,9.4,40.0,50.0,0.7,6.5,19.2,한국소설,상위권,단행본, 한국문학 , 소설,"아버지의 해방일지 :정지아 장편소설,9788936438838","[""성장"", ""가족"", ""사랑"", ""해방"", ""관계""]"
57,57,입속 지느러미 :조예은 장편소설,지은이: 조예은,한겨레엔,2024,9791172130633,A04810,813.7,문학 > 한국문학 > 소설,2113.0,6802,13500,164.0,18.0,9.5,20.0,50.0,0.9,3.4,68.0,한국소설,상위권,단행본, 한국문학 , 소설,"입속 지느러미 :조예은 장편소설,9791172130633","[""성장"", ""가족"", ""사랑"", ""관계"", ""청춘""]"
58,58,오싹오싹 크레용!,글: 에런 레이놀즈 ;옮김: 홍연미,토토북,2022,9788964964767,A77840,843.0,문학 > 영미문학 > 소설,2087.0,6727,15300,48.0,21.0,9.9,40.0,40.0,0.9,3.8,37.8,그림책,상위권,단행본, 영미문학 , 소설,"오싹오싹 크레용!,9788964964767","[""공포"", ""크레용"", ""그림"", ""괴물"", ""친구""]"
59,59,하우스 메이드,프리다 맥파든 지음 ;김은영 옮김,북플라자,2023,9791190157551,A03840,843.6,문학 > 영미문학 > 소설,2078.0,7215,14850,388.0,21.0,8.5,40.0,40.0,0.8,6.8,31.1,액션/스릴러소설,상위권,단행본, 영미문학 , 소설,"하우스 메이드,9791190157551","[""일상"", ""관계"", ""성장"", ""추억""]"
60,60,테디베어는 죽지 않아 :조예은 장편소설,지은이: 조예은,안전가옥,2023,9791193024225,A03810,813.7,문학 > 한국문학 > 소설,2045.0,5957,15030,364.0,46.0,9.3,20.0,40.0,0.9,5.2,61.0,추리/미스터리소설,상위권,단행본, 한국문학 , 소설,"테디베어는 죽지 않아 :조예은 장편소설,9791193024225","[""성장"", ""관계"", ""아픔"", ""성장통""]"
61,61,쇼코의 미소 :최은영 소설,지은이: 최은영,문학동네,2016,9788954641630,A03810,813.7,문학 > 한국문학 > 소설,2044.0,35720,13050,296.0,190.0,8.9,20.0,20.0,0.8,9.9,55.5,한국소설,상위권,단행본, 한국문학 , 소설,"쇼코의 미소 :최은영 소설,9788954641630","[""성장"", ""관계"", ""사랑"", ""애정"", ""연대""]"
62,62,곰탕 :김영탁 장편소설,지은이: 김영탁,아르테,2018,9788950973759,A04810,813.7,문학 > 한국문학 > 소설,1813.0,3822,11700,324.0,72.0,9.2,30.0,40.0,0.8,10.0,48.4,추리/미스터리소설,상위권,시리즈, 한국문학 , 소설,"곰탕 :김영탁 장편소설,9788950973759","[""가족"", ""사랑"", ""음식"", ""인생"", ""성장""]"
63,63,아몬드 :손원평 장편소설,지은이: 손원평,창비,2017,9788936434267,A03810,813.7,문학 > 한국문학 > 소설,1192.75,32398,12600,264.0,214.0,8.6,40.0,40.0,0.8,7.0,35.8,한국소설,상위권,단행본, 한국문학 , 소설,"아몬드 :손원평 장편소설,9788936434267","[""SF"", ""성장"", ""미래"", ""인간"", ""자아""]"
64,64,아이가 없는 집,지은이: 알렉스 안도릴 ;옮긴이: 유혜인,필름,2024,9791193262184,A03850,859.7,문학 > 독일문학 > 기타 게르만 문학,2377.0,9845,16200,304.0,13.0,6.1,30.0,20.0,0.8,11.3,39.900000000000006,추리/미스터리소설,상위권,단행본, 독일문학 , 기타 게르만 문학,"아이가 없는 집,9791193262184","[""가족"", ""관계"", ""사랑"", ""행복""]"
65,65,내게 무해한 사람 :최은영 소설,지은이: 최은영,문학동네,2018,9788954651820,A03810,813.7,문학 > 한국문학 > 소설,2023.0,25048,13050,328.0,135.0,8.9,20.0,30.0,0.8,8.4,59.3,한국소설,상위권,단행본, 한국문학 , 소설,"내게 무해한 사람 :최은영 소설,9788954651820","[""관계"", ""성장"", ""사랑"", ""일상"", ""청춘""]"
66,66,당근 유치원,지은이: 안녕달,창비,2020,9788936455484,A77810,813.7,문학 > 한국문학 > 소설,2006.0,13449,12600,48.0,42.0,9.7,30.0,40.0,0.9,3.9,51.0,그림책,상위권,단행본, 한국문학 , 소설,"당근 유치원,9788936455484","[""유치원"", ""어린이"", ""성장"", ""우정""]"
67,67,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,글: 윤정은,북로망스,2023,9791191891287,A03810,813.7,문학 > 한국문학 > 소설,1995.0,11456,13500,272.0,34.0,7.1,40.0,40.0,0.8,8.1,24.3,판타지/환상문학,상위권,단행본, 한국문학 , 소설,"메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,9791191891287","[""치유"", ""성장"", ""관계"", ""이야기""]"
68,68,제철 행복 :김신지 에세이,지은이: 김신지,인플루엔셜,2024,9791168341890,A03810,818.0,문학 > 한국문학 > 르포르타주 및 기타,1992.0,46296,16020,336.0,28.0,9.6,30.0,40.0,0.9,3.1,50.3,한국에세이,상위권,단행본, 한국문학 , 르포르타주 및 기타,"제철 행복 :김신지 에세이,9791168341890","[""에세이"", ""행복"", ""일상"", ""기록""]"
69,69,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,9788936447694,A74810,813.7,문학 > 한국문학 > 소설,1455.625,23764,10800,80.0,134.0,9.8,40.0,40.0,0.9,2.1,25.9,동화/명작/고전,상위권,시리즈, 한국문학 , 소설,"고양이 해결사 깜냥,9788936447694","[""고양이"", ""추리"", ""해결사"", ""조력자"", ""동물""]"
